coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
1101052,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00000/DES00000241_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00000/DES00000241_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00000/DES00000241_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00000/DES00000241.jpg,,Desert Botanical Garden Herbarium (DES),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:f0fb13cf-8a28-4872-8afa-7f1a13384981,2018-09-24 16:32:28,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=1101052,StillImage,Photograph,en
2057224,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00039/DES00039862_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00039/DES00039862_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00039/DES00039862_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00039/DES00039862.jpg,,Desert Botanical Garden Herbarium (DES),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:45c162e3-b4b2-4fda-81eb-d7de5024fd1e,2013-09-04 13:52:24,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=2057224,StillImage,Photograph,en
2057225,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00035/DES00035101_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00035/DES00035101_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00035/DES00035101_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00035/DES00035101.JPG,,Desert Botanical Garden Herbarium (DES),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:f249d03f-d415-4cd1-8357-ec0735591ba2,2013-09-04 13:51:48,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=2057225,StillImage,Photograph,en
719443,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0076/ASU0076941_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0076/ASU0076941_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0076/ASU0076941_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0076/ASU0076941.jpg,,Arizona State University Vascular Plant Herbarium (ASU-Plants),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:90f4734a-45b5-4a4c-96b3-53fc8ab6dbda,2014-01-29 17:09:02,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=719443,StillImage,Photograph,en
718984,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/201401/ASU0076925_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/201401/ASU0076925_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/201401/ASU0076925_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/201401/ASU0076925.jpg,,Arizona State University Vascular Plant Herbarium (ASU-Plants),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:2015f762-c63a-43db-b297-3649c766aa51,2014-01-29 11:31:22,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=718984,StillImage,Photograph,en
718988,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/201401/ASU0076928_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/201401/ASU0076928_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/201401/ASU0076928_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/201401/ASU0076928.jpg,,Arizona State University Vascular Plant Herbarium (ASU-Plants),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:4f71fdeb-5d6c-4668-848f-f3f0ce9a294b,2014-01-29 12:10:55,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=718988,StillImage,Photograph,en
719043,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU_Plants/201405/ASU0078493_1401479261_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU_Plants/201405/ASU0078493_1401479261_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU_Plants/201405/ASU0078493_1401479261_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU_Plants/201405/ASU0078493_1401479261.jpg,,Arizona State University Vascular Plant Herbarium (ASU-Plants),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:5ae87659-16f1-4ece-acc6-615c0f3354c4,2014-05-30 15:47:43,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=719043,StillImage,Photograph,en
719045,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU_Plants/201405/ASU0078486_1401475806_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU_Plants/201405/ASU0078486_1401475806_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU_Plants/201405/ASU0078486_1401475806_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU_Plants/201405/ASU0078486_1401475806.jpg,,Arizona State University Vascular Plant Herbarium (ASU-Plants),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:77055b4e-11ce-49a7-b51d-e0f0a56ad604,2014-05-30 14:50:08,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=719045,StillImage,Photograph,en
2056113,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00059/DES00059961_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00059/DES00059961_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00059/DES00059961_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00059/DES00059961.jpg,,Desert Botanical Garden Herbarium (DES),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:9324ac2c-e846-449d-a6f8-d9a4a9b64756,2013-09-20 19:48:44,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=2056113,StillImage,Photograph,en
2055627,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00058/DES00058631_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00058/DES00058631_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00058/DES00058631_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00058/DES00058631.jpg,,Desert Botanical Garden Herbarium (DES),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:1b3239b5-5004-41bf-8263-72f55a153cab,2013-09-20 20:10:38,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=2055627,StillImage,Photograph,en
2056108,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00058/DES00058629_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00058/DES00058629_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00058/DES00058629_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00058/DES00058629.jpg,,Desert Botanical Garden Herbarium (DES),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:eb494c35-44f8-46f8-b5e6-bcceaeee6ae2,2013-09-20 20:07:27,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=2056108,StillImage,Photograph,en
4691176,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00076/DES00076307_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00076/DES00076307_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00076/DES00076307_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00076/DES00076307.jpg,,Desert Botanical Garden Herbarium (DES),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:24c36c52-7cb2-4e39-a2e8-9f326663e32e,2014-12-04 15:43:04,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4691176,StillImage,Photograph,en
4691179,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00076/DES00076309_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00076/DES00076309_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00076/DES00076309_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00076/DES00076309.jpg,,Desert Botanical Garden Herbarium (DES),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:3356670d-0837-4bfb-8e91-afb4b010a18e,2014-12-04 15:44:04,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4691179,StillImage,Photograph,en
4691181,https://api.idigbio.org/v2/media/0613aea7c044dcc9a79850e04b157677?size=fullsize,https://api.idigbio.org/v2/media/0613aea7c044dcc9a79850e04b157677?size=fullsize,https://api.idigbio.org/v2/media/0613aea7c044dcc9a79850e04b157677?size=thumbnail,https://api.idigbio.org/v2/media/0613aea7c044dcc9a79850e04b157677?size=webview,,Desert Botanical Garden Herbarium (DES),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:0d3cc3e5-97ef-469f-9552-f233dcee8073,2016-06-29 18:13:43,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4691181,StillImage,Photograph,en
24536826,http://ph.ansp.org/image/Spermatophyte/Fullsize/00777/PH00777419.jpg,http://ph.ansp.org/image/Spermatophyte/Fullsize/00777/PH00777419.jpg,http://swbiodiversity.org/imglib/seinet/mam/PH/PH00777/PH00777419_1581453475_tn.jpg,http://swbiodiversity.org/imglib/seinet/mam/PH/PH00777/PH00777419_1581453475_web.jpg,,Academy of Natural Sciences of Drexel University (PH),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:6c36a0ea-b82c-4030-8333-b1a1c8e1e62d,2020-02-11 14:38:19,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=24536826,StillImage,Photograph,en
